Database,Credit,Table,CreditCatalogGLs
"CatalogCode","SysAccountName","COAAccount","AccountAlias","Id"
"NR01MMK001","CREDIT0","","###4050402010001**","1"
"NR01MMK001","CREDIT1","","###4050402010002**","2"
"NR01MMK001","CREDIT2","","###4050402010003**","3"
"NR01MMK001","CREDIT3","","###4050402010004**","4"
"NR01MMK001","CREDIT4","","###4050402010005**","5"
"NR01MMK001","PROV_CR_RVS0","","###4050803010001**","6"
"NR01MMK001","PROV_CR_RVS1","","###4050803010002**","7"
"NR01MMK001","PROV_CR_RVS2","","###4050803010003**","8"
"NR01MMK001","PROV_CR_RVS3","","###4050801010004**","9"
"NR01MMK001","PROV_CR_RVS4","","###4050801010005**","10"
"NR01MMK001","PROV_CR0","","###4050803010001**","11"
"NR01MMK001","PROV_CR1","","###4050803010002**","12"
"NR01MMK001","PROV_CR2","","###4050803010003**","13"
"NR01MMK001","PROV_CR3","","###4050801010004**","14"
"NR01MMK001","PROV_CR4","","###4050801010005**","15"
"NR01MMK001","PROV_DR_RVS0","","###2050101000001**","16"
"NR01MMK001","PROV_DR_RVS1","","###2050201000001**","17"
"NR01MMK001","PROV_DR_RVS2","","###2050201000002**","18"
"NR01MMK001","PROV_DR_RVS3","","###2050201000003**","19"
"NR01MMK001","PROV_DR_RVS4","","###2050201000004**","20"
"NR01MMK001","PROV_DR0","","###2050101000001**","21"
"NR01MMK001","PROV_DR1","","###2050201000001**","22"
"NR01MMK001","PROV_DR2","","###2050201000002**","23"
"NR01MMK001","PROV_DR3","","###2050201000003**","24"
"NR01MMK001","PROV_DR4","","###2050201000004**","25"
"NRIMMMK002","CREDIT0","","###4050402010001**","26"
"NRIMMMK002","CREDIT1","","###4050402010002**","27"
"NRIMMMK002","CREDIT2","","###4050402010003**","28"
"NRIMMMK002","CREDIT3","","###4050402010004**","29"
"NRIMMMK002","CREDIT4","","###4050402010005**","30"
"NRIMMMK002","PROV_CR_RVS0","","###4050803010001**","31"
"NRIMMMK002","PROV_CR_RVS1","","###4050803010002**","32"
"NRIMMMK002","PROV_CR_RVS2","","###4050803010003**","33"
"NRIMMMK002","PROV_CR_RVS3","","###4050801010004**","34"
"NRIMMMK002","PROV_CR_RVS4","","###4050801010005**","35"
"NRIMMMK002","PROV_CR0","","###4050803010001**","36"
"NRIMMMK002","PROV_CR1","","###4050803010002**","37"
"NRIMMMK002","PROV_CR2","","###4050803010003**","38"
"NRIMMMK002","PROV_CR3","","###4050801010004**","39"
"NRIMMMK002","PROV_CR4","","###4050801010005**","40"
"NRIMMMK002","PROV_DR_RVS0","","###2050101000001**","41"
"NRIMMMK002","PROV_DR_RVS1","","###2050201000001**","42"
"NRIMMMK002","PROV_DR_RVS2","","###2050201000002**","43"
"NRIMMMK002","PROV_DR_RVS3","","###2050201000003**","44"
"NRIMMMK002","PROV_DR_RVS4","","###2050201000004**","45"
"NRIMMMK002","PROV_DR0","","###2050101000001**","46"
"NRIMMMK002","PROV_DR1","","###2050201000001**","47"
"NRIMMMK002","PROV_DR2","","###2050201000002**","48"
"NRIMMMK002","PROV_DR3","","###2050201000003**","49"
"NRIMMMK002","PROV_DR4","","###2050201000004**","50"
"NR02MMK003","CREDIT0","","###4050402010001**","51"
"NR02MMK003","CREDIT1","","###4050402010002**","52"
"NR02MMK003","CREDIT2","","###4050402010003**","53"
"NR02MMK003","CREDIT3","","###4050402010004**","54"
"NR02MMK003","CREDIT4","","###4050402010005**","55"
"NR02MMK003","PROV_CR_RVS0","","###4050803010001**","56"
"NR02MMK003","PROV_CR_RVS1","","###4050803010002**","57"
"NR02MMK003","PROV_CR_RVS2","","###4050803010003**","58"
"NR02MMK003","PROV_CR_RVS3","","###4050801010004**","59"
"NR02MMK003","PROV_CR_RVS4","","###4050801010005**","60"
"NR02MMK003","PROV_CR0","","###4050803010001**","61"
"NR02MMK003","PROV_CR1","","###4050803010002**","62"
"NR02MMK003","PROV_CR2","","###4050803010003**","63"
"NR02MMK003","PROV_CR3","","###4050801010004**","64"
"NR02MMK003","PROV_CR4","","###4050801010005**","65"
"NR02MMK003","PROV_DR_RVS0","","###2050101000001**","66"
"NR02MMK003","PROV_DR_RVS1","","###2050201000001**","67"
"NR02MMK003","PROV_DR_RVS2","","###2050201000002**","68"
"NR02MMK003","PROV_DR_RVS3","","###2050201000003**","69"
"NR02MMK003","PROV_DR_RVS4","","###2050201000004**","70"
"NR02MMK003","PROV_DR0","","###2050101000001**","71"
"NR02MMK003","PROV_DR1","","###2050201000001**","72"
"NR02MMK003","PROV_DR2","","###2050201000002**","73"
"NR02MMK003","PROV_DR3","","###2050201000003**","74"
"NR02MMK003","PROV_DR4","","###2050201000004**","75"
"TLY2MMK004","CREDIT0","","###4050402010001**","76"
"TLY2MMK004","CREDIT1","","###4050402010002**","77"
"TLY2MMK004","CREDIT2","","###4050402010003**","78"
"TLY2MMK004","CREDIT3","","###4050402010004**","79"
"TLY2MMK004","CREDIT4","","###4050402010005**","80"
"TLY2MMK004","PROV_CR_RVS0","","###4050803010001**","81"
"TLY2MMK004","PROV_CR_RVS1","","###4050803010002**","82"
"TLY2MMK004","PROV_CR_RVS2","","###4050803010003**","83"
"TLY2MMK004","PROV_CR_RVS3","","###4050801010004**","84"
"TLY2MMK004","PROV_CR_RVS4","","###4050801010005**","85"
"TLY2MMK004","PROV_CR0","","###4050803010001**","86"
"TLY2MMK004","PROV_CR1","","###4050803010002**","87"
"TLY2MMK004","PROV_CR2","","###4050803010003**","88"
"TLY2MMK004","PROV_CR3","","###4050801010004**","89"
"TLY2MMK004","PROV_CR4","","###4050801010005**","90"
"TLY2MMK004","PROV_DR_RVS0","","###2050101000001**","91"
"TLY2MMK004","PROV_DR_RVS1","","###2050201000001**","92"
"TLY2MMK004","PROV_DR_RVS2","","###2050201000002**","93"
"TLY2MMK004","PROV_DR_RVS3","","###2050201000003**","94"
"TLY2MMK004","PROV_DR_RVS4","","###2050201000004**","95"
"TLY2MMK004","PROV_DR0","","###2050101000001**","96"
"TLY2MMK004","PROV_DR1","","###2050201000001**","97"
"TLY2MMK004","PROV_DR2","","###2050201000002**","98"
"TLY2MMK004","PROV_DR3","","###2050201000003**","99"
"TLY2MMK004","PROV_DR4","","###2050201000004**","100"
"TLY2MMK005","CREDIT0","","###4050402010001**","101"
"TLY2MMK005","CREDIT1","","###4050402010002**","102"
"TLY2MMK005","CREDIT2","","###4050402010003**","103"
"TLY2MMK005","CREDIT3","","###4050402010004**","104"
"TLY2MMK005","CREDIT4","","###4050402010005**","105"
"TLY2MMK005","PROV_CR_RVS0","","###4050803010001**","106"
"TLY2MMK005","PROV_CR_RVS1","","###4050803010002**","107"
"TLY2MMK005","PROV_CR_RVS2","","###4050803010003**","108"
"TLY2MMK005","PROV_CR_RVS3","","###4050801010004**","109"
"TLY2MMK005","PROV_CR_RVS4","","###4050801010005**","110"
"TLY2MMK005","PROV_CR0","","###4050803010001**","111"
"TLY2MMK005","PROV_CR1","","###4050803010002**","112"
"TLY2MMK005","PROV_CR2","","###4050803010003**","113"
"TLY2MMK005","PROV_CR3","","###4050801010004**","114"
"TLY2MMK005","PROV_CR4","","###4050801010005**","115"
"TLY2MMK005","PROV_DR_RVS0","","###2050101000001**","116"
"TLY2MMK005","PROV_DR_RVS1","","###2050201000001**","117"
"TLY2MMK005","PROV_DR_RVS2","","###2050201000002**","118"
"TLY2MMK005","PROV_DR_RVS3","","###2050201000003**","119"
"TLY2MMK005","PROV_DR_RVS4","","###2050201000004**","120"
"TLY2MMK005","PROV_DR0","","###2050101000001**","121"
"TLY2MMK005","PROV_DR1","","###2050201000001**","122"
"TLY2MMK005","PROV_DR2","","###2050201000002**","123"
"TLY2MMK005","PROV_DR3","","###2050201000003**","124"
"TLY2MMK005","PROV_DR4","","###2050201000004**","125"
"TLY3MMK006","CREDIT0","","###4050402010001**","126"
"TLY3MMK006","CREDIT1","","###4050402010002**","127"
"TLY3MMK006","CREDIT2","","###4050402010003**","128"
"TLY3MMK006","CREDIT3","","###4050402010004**","129"
"TLY3MMK006","CREDIT4","","###4050402010005**","130"
"TLY3MMK006","PROV_CR_RVS0","","###4050803010001**","131"
"TLY3MMK006","PROV_CR_RVS1","","###4050803010002**","132"
"TLY3MMK006","PROV_CR_RVS2","","###4050803010003**","133"
"TLY3MMK006","PROV_CR_RVS3","","###4050801010004**","134"
"TLY3MMK006","PROV_CR_RVS4","","###4050801010005**","135"
"TLY3MMK006","PROV_CR0","","###4050803010001**","136"
"TLY3MMK006","PROV_CR1","","###4050803010002**","137"
"TLY3MMK006","PROV_CR2","","###4050803010003**","138"
"TLY3MMK006","PROV_CR3","","###4050801010004**","139"
"TLY3MMK006","PROV_CR4","","###4050801010005**","140"
"TLY3MMK006","PROV_DR_RVS0","","###2050101000001**","141"
"TLY3MMK006","PROV_DR_RVS1","","###2050201000001**","142"
"TLY3MMK006","PROV_DR_RVS2","","###2050201000002**","143"
"TLY3MMK006","PROV_DR_RVS3","","###2050201000003**","144"
"TLY3MMK006","PROV_DR_RVS4","","###2050201000004**","145"
"TLY3MMK006","PROV_DR0","","###2050101000001**","146"
"TLY3MMK006","PROV_DR1","","###2050201000001**","147"
"TLY3MMK006","PROV_DR2","","###2050201000002**","148"
"TLY3MMK006","PROV_DR3","","###2050201000003**","149"
"TLY3MMK006","PROV_DR4","","###2050201000004**","150"
"TLY3MMK007","CREDIT0","","###4050402010001**","151"
"TLY3MMK007","CREDIT1","","###4050402010002**","152"
"TLY3MMK007","CREDIT2","","###4050402010003**","153"
"TLY3MMK007","CREDIT3","","###4050402010004**","154"
"TLY3MMK007","CREDIT4","","###4050402010005**","155"
"TLY3MMK007","PROV_CR_RVS0","","###4050803010001**","156"
"TLY3MMK007","PROV_CR_RVS1","","###4050803010002**","157"
"TLY3MMK007","PROV_CR_RVS2","","###4050803010003**","158"
"TLY3MMK007","PROV_CR_RVS3","","###4050801010004**","159"
"TLY3MMK007","PROV_CR_RVS4","","###4050801010005**","160"
"TLY3MMK007","PROV_CR0","","###4050803010001**","161"
"TLY3MMK007","PROV_CR1","","###4050803010002**","162"
"TLY3MMK007","PROV_CR2","","###4050803010003**","163"
"TLY3MMK007","PROV_CR3","","###4050801010004**","164"
"TLY3MMK007","PROV_CR4","","###4050801010005**","165"
"TLY3MMK007","PROV_DR_RVS0","","###2050101000001**","166"
"TLY3MMK007","PROV_DR_RVS1","","###2050201000001**","167"
"TLY3MMK007","PROV_DR_RVS2","","###2050201000002**","168"
"TLY3MMK007","PROV_DR_RVS3","","###2050201000003**","169"
"TLY3MMK007","PROV_DR_RVS4","","###2050201000004**","170"
"TLY3MMK007","PROV_DR0","","###2050101000001**","171"
"TLY3MMK007","PROV_DR1","","###2050201000001**","172"
"TLY3MMK007","PROV_DR2","","###2050201000002**","173"
"TLY3MMK007","PROV_DR3","","###2050201000003**","174"
"TLY3MMK007","PROV_DR4","","###2050201000004**","175"
"ST01MMK008","CREDIT0","","###4050402010001**","176"
"ST01MMK008","CREDIT1","","###4050402010002**","177"
"ST01MMK008","CREDIT2","","###4050402010003**","178"
"ST01MMK008","CREDIT3","","###4050402010004**","179"
"ST01MMK008","CREDIT4","","###4050402010005**","180"
"ST01MMK008","PROV_CR_RVS0","","###4050803010001**","181"
"ST01MMK008","PROV_CR_RVS1","","###4050803010002**","182"
"ST01MMK008","PROV_CR_RVS2","","###4050803010003**","183"
"ST01MMK008","PROV_CR_RVS3","","###4050801010004**","184"
"ST01MMK008","PROV_CR_RVS4","","###4050801010005**","185"
"ST01MMK008","PROV_CR0","","###4050803010001**","186"
"ST01MMK008","PROV_CR1","","###4050803010002**","187"
"ST01MMK008","PROV_CR2","","###4050803010003**","188"
"ST01MMK008","PROV_CR3","","###4050801010004**","189"
"ST01MMK008","PROV_CR4","","###4050801010005**","190"
"ST01MMK008","PROV_DR_RVS0","","###2050101000001**","191"
"ST01MMK008","PROV_DR_RVS1","","###2050201000001**","192"
"ST01MMK008","PROV_DR_RVS2","","###2050201000002**","193"
"ST01MMK008","PROV_DR_RVS3","","###2050201000003**","194"
"ST01MMK008","PROV_DR_RVS4","","###2050201000004**","195"
"ST01MMK008","PROV_DR0","","###2050101000001**","196"
"ST01MMK008","PROV_DR1","","###2050201000001**","197"
"ST01MMK008","PROV_DR2","","###2050201000002**","198"
"ST01MMK008","PROV_DR3","","###2050201000003**","199"
"ST01MMK008","PROV_DR4","","###2050201000004**","200"
"HP05MMK009","CREDIT0","","###4050402010001**","201"
"HP05MMK009","CREDIT1","","###4050402010002**","202"
"HP05MMK009","CREDIT2","","###4050402010003**","203"
"HP05MMK009","CREDIT3","","###4050402010004**","204"
"HP05MMK009","CREDIT4","","###4050402010005**","205"
"HP05MMK009","PROV_CR_RVS0","","###4050803010001**","206"
"HP05MMK009","PROV_CR_RVS1","","###4050803010002**","207"
"HP05MMK009","PROV_CR_RVS2","","###4050803010003**","208"
"HP05MMK009","PROV_CR_RVS3","","###4050801010004**","209"
"HP05MMK009","PROV_CR_RVS4","","###4050801010005**","210"
"HP05MMK009","PROV_CR0","","###4050803010001**","211"
"HP05MMK009","PROV_CR1","","###4050803010002**","212"
"HP05MMK009","PROV_CR2","","###4050803010003**","213"
"HP05MMK009","PROV_CR3","","###4050801010004**","214"
"HP05MMK009","PROV_CR4","","###4050801010005**","215"
"HP05MMK009","PROV_DR_RVS0","","###2050101000001**","216"
"HP05MMK009","PROV_DR_RVS1","","###2050201000001**","217"
"HP05MMK009","PROV_DR_RVS2","","###2050201000002**","218"
"HP05MMK009","PROV_DR_RVS3","","###2050201000003**","219"
"HP05MMK009","PROV_DR_RVS4","","###2050201000004**","220"
"HP05MMK009","PROV_DR0","","###2050101000001**","221"
"HP05MMK009","PROV_DR1","","###2050201000001**","222"
"HP05MMK009","PROV_DR2","","###2050201000002**","223"
"HP05MMK009","PROV_DR3","","###2050201000003**","224"
"HP05MMK009","PROV_DR4","","###2050201000004**","225"
"HP02MMK010","CREDIT0","","###4050402010001**","226"
"HP02MMK010","CREDIT1","","###4050402010002**","227"
"HP02MMK010","CREDIT2","","###4050402010003**","228"
"HP02MMK010","CREDIT3","","###4050402010004**","229"
"HP02MMK010","CREDIT4","","###4050402010005**","230"
"HP02MMK010","PROV_CR_RVS0","","###4050803010001**","231"
"HP02MMK010","PROV_CR_RVS1","","###4050803010002**","232"
"HP02MMK010","PROV_CR_RVS2","","###4050803010003**","233"
"HP02MMK010","PROV_CR_RVS3","","###4050801010004**","234"
"HP02MMK010","PROV_CR_RVS4","","###4050801010005**","235"
"HP02MMK010","PROV_CR0","","###4050803010001**","236"
"HP02MMK010","PROV_CR1","","###4050803010002**","237"
"HP02MMK010","PROV_CR2","","###4050803010003**","238"
"HP02MMK010","PROV_CR3","","###4050801010004**","239"
"HP02MMK010","PROV_CR4","","###4050801010005**","240"
"HP02MMK010","PROV_DR_RVS0","","###2050101000001**","241"
"HP02MMK010","PROV_DR_RVS1","","###2050201000001**","242"
"HP02MMK010","PROV_DR_RVS2","","###2050201000002**","243"
"HP02MMK010","PROV_DR_RVS3","","###2050201000003**","244"
"HP02MMK010","PROV_DR_RVS4","","###2050201000004**","245"
"HP02MMK010","PROV_DR0","","###2050101000001**","246"
"HP02MMK010","PROV_DR1","","###2050201000001**","247"
"HP02MMK010","PROV_DR2","","###2050201000002**","248"
"HP02MMK010","PROV_DR3","","###2050201000003**","249"
"HP02MMK010","PROV_DR4","","###2050201000004**","250"
"HP03MMK011","CREDIT0","","###4050402010001**","251"
"HP03MMK011","CREDIT1","","###4050402010002**","252"
"HP03MMK011","CREDIT2","","###4050402010003**","253"
"HP03MMK011","CREDIT3","","###4050402010004**","254"
"HP03MMK011","CREDIT4","","###4050402010005**","255"
"HP03MMK011","PROV_CR_RVS0","","###4050803010001**","256"
"HP03MMK011","PROV_CR_RVS1","","###4050803010002**","257"
"HP03MMK011","PROV_CR_RVS2","","###4050803010003**","258"
"HP03MMK011","PROV_CR_RVS3","","###4050801010004**","259"
"HP03MMK011","PROV_CR_RVS4","","###4050801010005**","260"
"HP03MMK011","PROV_CR0","","###4050803010001**","261"
"HP03MMK011","PROV_CR1","","###4050803010002**","262"
